# Result of download
Price             Close         High          Low         Open   Volume
Ticker           TCS.NS       TCS.NS       TCS.NS       TCS.NS   TCS.NS
Date                                                                   
2025-05-23  3483.636230  3503.856408  3435.067924  3446.367392  1274331
2025-05-26  3506.136230  3513.768345  3479.175912  3489.979786   967470
2025-05-27  3467.876221  3508.812414  3452.413803  3500.882894  2467680
2025-05-28  3466.885010  3497.909303  3462.226465  3488.988594  1222933
2025-05-29  3467.281738  3501.378577  3455.783838  3473.823447  3188072
2025-05-30  3432.887207  3475.805781  3422.678144  3459.252957  3404365
2025-06-02  3419.407227  3429.517316  3388.482148  3419.605416  1877585
2025-06-03  3375.199951  3442.898273  3370.541407  3415.640549  2848125
2025-06-04  3380.899902  3394.800049  3370.000000  3389.000000  2544807
2025-06-05  3371.100098  3409.000000  3363.699951  3409.000000  3584683
2025-06-06  3384.199951  3390.899902  3358.699951  3371.100098  2070390
2025-06-09  3421.899902  3434.000000  3390.899902  3400.000000  1718678
2025-06-10  3462.899902  3485.800049  3423.199951  3440.000000  2419874
2025-06-11  3471.899902  3489.000000  3449.100098  3470.000000  2847013
2025-06-12  3434.199951  3474.699951  3423.199951  3471.899902  4060134
2025-06-13  3445.699951  3450.500000  3393.199951  3393.199951  2178493
2025-06-16  3496.300049  3509.000000  3426.199951  3440.000000  1934088
2025-06-17  3515.300049  3520.000000  3488.100098  3510.000000  2111940
2025-06-18  3451.399902  3538.000000  3443.100098  3519.100098  2696327
2025-06-19  3424.000000  3451.000000  3413.000000  3450.000000  2672768
2025-06-20  3435.699951  3446.300049  3410.899902  3425.000000  2351248
2025-06-23  3397.000000  3425.000000  3370.000000  3415.000000  2362088
